"unconstrained","increasing"
43.4905157538903,43.4905290256376
23.2121632493737,23.2121637416854
10.3487029969932,10.3487029972096
8.2291199290295,8.22911991944073
6.7583938327687,6.75839383275105
6.51348210848044,6.51348210854856
6.38161017135597,6.38161017135567
36.1507812821774,36.1507801583645
23.2835710681754,23.2835712822675
9.92609757152618,9.92609757177027
7.98204013089579,7.98204013089605
6.76612337605871,6.76612337605816
6.55070184665597,6.55070184665352
6.38382788446863,6.38382788446851
