"unconstrained","increasing"
43.2631778631889,43.2632237966805
22.7176843027513,22.7176744461276
10.1128096723963,10.112809660344
8.04163147244563,8.04163147235958
6.68175392798446,6.68175392795212
6.52750325727454,6.52750325744328
6.37379047265614,6.37379047265569
49.1259656282198,49.1259691632234
25.5416533600611,25.5416535875564
10.3240540605226,10.3240540608945
8.08247341450174,8.08247341072433
6.71731477066388,6.71731477062189
6.53054574972953,6.53054574968057
6.37507976776922,6.37507976776955
318.040197303226,44.1487614925397
237.004184482382,29.4683930129375
63.826331521195,12.4688868309241
32.9855997719696,7.2976534136636
5.97039156068065,2.31505720657228
3.37535790668655,1.47051040926589
1.27997697297716,0.965390277499457
355.395624858949,45.7305134244012
244.171046012072,30.2521496039795
73.6296322194112,13.7449142184932
36.7456028606192,6.95496270725598
7.15028643062225,2.21192925110331
3.91518068195444,1.53850772678485
1.41490759381658,0.971654853060075
760.863452066712,78.4339791132445
814.235731611708,49.9319144441968
531.230800637248,19.4520661218609
370.671787342371,12.3347614226453
183.924728528803,4.80514260749502
136.992694667188,3.30437021218656
20.2942608484885,1.50946661764234
1011.92850017556,74.9127274881636
872.832406223845,50.4539820804123
562.696074858582,18.1037783002765
