"unconstrained","increasing"
45.5896698382757,45.5895408779433
26.2622149500444,26.2622139313775
9.8332208750133,9.83322087500376
8.21492690520104,8.21492690390336
6.70401162833539,6.70401162833635
6.51687613222486,6.51687613221039
6.38085000419917,6.38085000419867
47.8448711065165,47.8448808590229
23.4489989609191,23.4489985942734
9.11116568445947,9.11116567407684
8.1820459683004,8.18204596824743
6.74723503890232,6.74723503889502
6.52708124026928,6.52708124028523
6.38875008154344,6.38875008154433
315.313538006652,46.4301114237666
210.579391275288,25.9142375025132
65.0286465100425,14.1995705870215
30.8317294386349,6.16682018490778
5.59108000400363,1.90042319331645
3.30884977786516,1.55036319645134
1.34949311855127,0.977155433812797
308.63836429104,39.2837340364818
280.352987738327,28.7376669872825
71.9139982951501,12.6809630883415
30.069619856926,6.1486862197329
6.42364709665987,1.95692175010679
3.21205579508011,1.52709976755577
1.42702412097015,0.992527532145448
955.890594470698,71.0717071035659
693.140552703513,42.9988006171588
428.158351232783,18.7889222146951
343.466262582763,12.0922201199614
